city_name,state_abbr,year,city_key,median_household_income,median_gross_rent,median_home_value,unemployed_population,total_population,commute_total,commute_public_transit,avg_high_temp_c,avg_low_temp_c,annual_precip_mm,snow_days,avg_sunshine_hrs_per_day,city_state,days_with_aqi,good_days,moderate_days,unhealthy_sens_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,median_aqi,days_co,days_no2,days_ozone,days_pm25,days_pm10,arrests_per_person,arrests_per_100k
Washington,DC,2022,washington_dc,101722,1817,705000,28264,670587,366965,90524,19.1,8.9,1489.9,15,8.8,"Washington, DC",365.0,153.0,208.0,4.0,0.0,0.0,0.0,128.0,52.0,0.0,5.0,130.0,230.0,0.0,,
Birmingham,AL,2023,birmingham_al,44376,1047,138600,5872,199322,89160,1188,23.6,13.2,1283.9,0,9.4,"Birmingham, AL",365.0,73.0,272.0,15.0,3.0,2.0,0.0,255.0,61.0,0.0,0.0,54.0,311.0,0.0,0.0292640934229562,2926.4093422956225
Phoenix,AZ,2023,phoenix_az,77041,1458,381900,44358,1624832,811897,16531,30.1,16.4,253.7,0,10.8,,,,,,,,,,,,,,,,0.0278082828816516,2780.82828816516
Los Angeles,CA,2023,los_angeles_ca,80366,1879,879500,168363,3857897,1898466,126277,23.5,12.3,980.1,2,9.7,"Los Angeles, CA",365.0,41.0,237.0,52.0,32.0,3.0,0.0,210.0,67.0,0.0,5.0,150.0,203.0,7.0,0.0201445843881519,2014.4584388151904
Denver,CO,2023,denver_co,91681,1770,586700,20324,713734,415071,18767,17.4,2.0,537.7,58,9.9,"Denver, CO",365.0,72.0,264.0,27.0,2.0,0.0,0.0,179.0,64.0,0.0,20.0,243.0,85.0,17.0,0.0297165044104699,2971.650441046996
Jacksonville,FL,2023,jacksonville_fl,66981,1375,266100,22455,961739,469205,5645,26.2,17.5,1103.5,0,9.8,"Jacksonville, FL",365.0,152.0,211.0,2.0,0.0,0.0,0.0,124.0,52.0,0.0,0.0,62.0,303.0,0.0,,
Atlanta,GA,2023,atlanta_ga,81938,1617,420600,16857,499287,263997,16787,22.5,12.3,1412.2,0,9.0,,,,,,,,,,,,,,,,0.0193982649629476,1939.826496294764
Chicago,IL,2023,chicago_il,75134,1380,315200,118928,2707648,1352444,260577,15.1,7.2,1245.4,35,8.4,"Chicago, IL",365.0,76.0,246.0,33.0,8.0,2.0,0.0,246.0,60.0,0.0,6.0,99.0,247.0,13.0,0.0147243778480447,1472.437784804477
New Orleans,LA,2023,new_orleans_la,55339,1211,296400,14808,376035,171094,7713,26.1,18.9,1151.1,0,9.9,"New Orleans, LA",365.0,139.0,216.0,10.0,0.0,0.0,0.0,126.0,53.0,0.0,1.0,137.0,227.0,0.0,0.0269195609354826,2691.956093548261
Baltimore,MD,2023,baltimore_md,59623,1290,219300,19141,577193,268543,30816,19.5,9.5,1293.6,8,9.0,"Baltimore, MD",365.0,201.0,147.0,13.0,3.0,1.0,0.0,205.0,49.0,0.0,4.0,199.0,162.0,0.0,0.0155869351756223,1558.6935175622384
Detroit,MI,2023,detroit_mi,39575,1034,76800,38165,636644,223900,13417,15.4,6.7,996.2,39,8.3,"Detroit, MI",365.0,68.0,270.0,23.0,3.0,1.0,0.0,226.0,61.0,0.0,2.0,42.0,321.0,0.0,0.0185736838801014,1857.368388010143
